camera,star,x,y
3,Minelauva,1008.782313,889.8076685
3,Mizar,2330.534738,101.6243837
3,Muphrid,1260.467319,276.1657231
3,Phecda,2490.534527,488.3375959
3,Porrima,921.295539,1054.343866
3,107 Vir,441.1752109,243.0292018
3,Spica,512.0098482,867.0155929
3,Syrma,499.0026649,435.2318454
3,Taiyangshou,2393.721948,624.8045166
3,Tania Australis,2497.721443,1106.406146
3,Vindemiatrix,1203.70523,739.8182779
3,Zosma,1850.336124,1294.241468
3,Zubenelgenubi,162.042368,345.5107371
3,Zubeneschamali,272.8770807,74.7637644
4,2 Cep,221.4860828,1076.309572
4,16 Aql,2302.516009,1192.590181
4,44 Dra,80.7430605,620.1309609
4,Alderamin,158.4977238,1218.030855
4,43 Dra,111.3440774,623.3142627
4,Aldhibah,260.1491546,403.5126812
4,30 Aql,2057.089482,1318.885924
4,Altais,182.1700807,785.327126
4,Alya,2074.693443,1092.869399
4,Anser,1412.678501,1235.898751
4,Athebyne,353.12932,218.8979933
4,Cebalrai,2118.037073,518.5093885
4,Deneb,653.8012024,1417.504609
4,13 Aql,1753.69416,1079.783263
4,Eltanin,664.8112007,555.0042427
4,Fawaris,761.502765,1150.485253
4,1 Cyg,559.3703704,931.8391014
4,Grumium,507.4696505,541.2090742
4,3 Cep,225.8993034,1143.794174
4,Kuma,556.9060092,444.8543914
4,62 Oph,2169.837535,557.9546218
4,6 Lyr,1067.482027,866.9681791
4,Okab,1781.569376,1128.093848
4,Pherkad,50.65223097,211.6784777
4,Rasalgethi,1825.196938,280.2127772
4,Rasalhague,1886.175731,435.9127435
4,Rastaban,641.9218289,427.9665683
4,Sadr,835.902829,1400.189012
4,13 Oph,2478.77185,59.99237805
4,Sarin,1500.842629,283.0871514
4,Sheliak,1195.793384,922.712039
4,Sulafat,1207.888678,984.565135
4,Tyl,93.05093379,852.3123939
4,Vega,1036.500591,812.3001182
4,Xihe,1101.444444,864.6659004
5,Aldhibah,2316.79419,300.0098474
5,Alioth,2364.417749,1271.633766
5,Alkaid,2098.303671,1226.298484
5,Alkalurops,1578.769409,885.5347625
5,Alphecca,1231.796831,903.2117026
5,23 Boo,2091.018192,1026.661521
5,Athebyne,2218.300827,450.1110144
5,43 Boo,1294.899591,1107.582604
5,Cebalrai,468.9084406,51.163567
5,Edasich,2195.197737,692.9778652
5,Eltanin,1924.008921,33.19343066
5,HIP 78727,94.8887218,891.0977444
5,Grumium,2079.314952,86.28766345
5,Gudja,942.2492902,858.487791
5,Izar,1340.60306,1233.900564
5,Kornephoros,998.0004331,533.1719359
5,Kuma,2026.799283,162.4551971
5,Marfik,413.2190751,617.9971098
5,Megrez,2468.914117,1340.12453
5,Mizar,2280.534476,1203.989971
5,62 Oph,417.794686,27.25785024
5,28 Ser,863.2813522,894.1853871
5,41 Ser,854.8787522,814.9070041
5,20 Her,932.2145969,605.2434641
5,13 Ser,735.9735564,1009.843497
5,37 Ser,532.8934978,920.1743274
5,Nekkar,1706.789863,989.5464625
5,Nusakan,1317.823529,931.9934077
5,Pherkad,2509.457452,590.5017216
5,Rasalgethi,756.0192396,229.1965186
5,Rasalhague,701.824781,86.40050063
5,Rastaban,1942.679076,155.716303
5,13 Oph,80.50976362,634.434224
5,Sarin,1083.100655,202.8019663
5,Seginus,1703.564914,1181.718474
5,49 Boo,1468.929727,977.1668352
5,Thuban,2420.815193,895.0062358
5,Unukalhai,598.9869338,960.521777
5,Xuange,1954.528387,1153.290613
5,Yed Posterior,245.7795874,750.6107492
5,Yed Prior,276.487611,776.997195
5,Zubenelhakrabi,61.20207927,1122.688109
5,Zubeneschamali,223.8885077,1244.580332
5,20 Ser,793.5331472,941.8394976
6,Acrab,1827.589474,507.6684211
6,40 Oph,1269.471698,518.2145353
6,16 Aql,455.5997035,126.0081542
6,Albaldah,491.8051218,621.0293567
6,Alnasl,969.1514974,837.0839695
6,Alniyat,1700.01815,677.8571429
6,Antares,1640.599323,699.6128565
6,Ascella,597.4865189,884.2150989
6,Brachium,2204.994246,763.2237852
6,Dschubba,1854.819795,602.0494865
6,Fang,1851.498584,713.9739377
6,Fuyue,1096.879925,1035.813008
6,42 Oph,1264.822082,642.9856979
6,HIP 87073,1120.988852,1131.17893
6,HIP 78727,1853.068745,247.5635492
6,HIP 89642,921.8144519,1046.121249
6,Iklil,1850.326054,813.127259
6,Jabbah,1781.508687,491.0090341
6,Kaus Australis,868.0897879,977.8944253
6,Kaus Borealis,796.3137004,699.1318822
6,Kaus Media,864.0950461,830.9107143
6,Larawag,1482.501073,941.792382
6,Lesath,1218.984962,1036.488722
6,Menkent,2388.2,1207.499707
6,HIP 86670,1148.899329,1094.701084
6,27 Sgr,685.4385217,770.1400142
6,40 Sgr,553.8739316,822.275641
6,Nunki,619.1564885,762.0992366
6,Paikauhale,1591.490374,752.7706682
6,Polis,879.1900484,546.8866621
6,Sabik,1347.497686,347.2359897
6,13 Oph,1604.825,197.0115
6,Sargas,1189.706378,1215.752768
6,Shaula,1200.662373,1030.911433
6,Xamidimura,1463.992375,1059.102397
6,Yed Posterior,1750.829006,34.98163395
6,Yed Prior,1781.241584,9.357755776
6,Zubenelgenubi,2338.808132,503.8799238
6,Zubenelhakrabi,2051.992908,387.9913318
6,Zubeneschamali,2191.709813,253.320891
